İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;17.11.2016;;KAHVE DÜNYASI ÇORLU NOVACITY FİLE MARKET;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001045 + (2016301054);24.01.2023;;AYAK SERT;;AYAK VİDALARI GEVŞETİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;05.09.2022;;KAHVE DÜNYASI TUZLA VİAPORT MARİNA;ROBOTPOS CİHAZ;MK;R20220020090;25.01.2022;;LED PANEL ARIZASI;;FORMAT ATILDI PERFORMANS TEST YAPILDI SORUN GÖRÜLMEDİ HAZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24.02.2020;;KAHVE DÜNYASI ZİVERBEY;ROBOTPOS YAZICI;RP-81;1910280107;26.01.2023;;SİLİK YAZMA SORUNU;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;02.08.2019;;KAHVE DÜNYASI METROPOL AVM;ROBOTPOS MÜŞTERİ EKRANI;MK;R1907160006;26.01.2023;;CİHAZ AÇILMAMA SORUNU;;KABLOLARI SÖK TAK YAPILDI TEST EDİLDİ SORUN GÖRÜLMEDİ. HAZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.06.2020;;KÖFTECİ YUSUF BALIKESİR TINAZ PETROL;MÜŞTERİ EKRANI;MK;R1910230170;27.01.2023;;AYAK KISMI KIRIK.;;AYAK MENTEŞE KISMI DEĞİŞTİ HAZIR;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.07.2019;;TRT WORLD AYAZAĞA;ROBOTPOS YAZICI;RP-81;1811250183;30.01.2023;;SİLK YAZMA VE İÇ MERDANE ARIZASI ;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04 YONCA HANIM GERİ DÖNÜŞ YAPACAK . YONCA HANIM ONAYLADI 70USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;28.08.2018;;KAHVE DÜNYASI MARMARA FORUM;ROBOTPOS YAZICI;RP-81;1805120266;30.01.2023;;SİYAH KAĞIT ÇIKARTMA SORUNU;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.05.2019;;KÖFTECİ RAMİZ MERSİN ERDEMLİ;ROBOTPOS YAZICI;RP-81;1811250182;30.01.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04 AYŞE HANIM ONAYLADI. KUR:19,2612  70USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.03.2020;;AKSOY ET IZGARA YALOVA;ROBOTPOS CİHAZ;MK;R2019003238 ;30.01.2023;;KART OKUYUCU ÇALIŞMIYOR.;;FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.06.2021;;SEÇ AL TOKAT;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210020165 + (R2101080130);30.1.2023;;DOKUNMATİK SORUNU;;FORMAT ATILDI DOKUNMATİK TEKRAR KURULDU PERFORMANS TEST YAPILDI. SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11924 (25.11.2021);;ŞAZELİ FLORYA ;ROBOTPOS YAZICI;RP-81;2106080003;01.02.2023;;SİLİK YAZMA SORUNU;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MAVİ KÖŞK SAC TAVA;SENOR CİHAZ;AMON-15;B08C1617;01.02.2023;;WİNDOWS AÇILMIYOR (CİHAZ AÇILMIYOR)- OFİS İÇİ;;FORMAT ATILDI;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.11.2018;;KÖFTECİ RAMİZ MANİSA KULA;ROBOTPOS YAZICI;RP-81;1805120221;01.02.2023;;FİŞ KESMİYOR. (23.06.2022 DE TERMAL KAFA DEĞİŞMİŞ);;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.08.2021;;KÖFTECİ YUSUF İSTANBUL ÜMRANİYE AKYAKA PARK AVM;ROBOTPOS CİHAZ;MK;R20210030110;02.02.2023;;EKRAN RENK PROBLEMİ. EKRAN ÇERÇEVESİNİN SAĞ AL TARAFINDA KIRIK VAR.;;GARANTİ KAPSAMINDA DOKUNMATİK PANEL-RAM VE BİOS SONRASI OLUŞAN HATADAN DOLAYI ANAKART DEĞİŞTİ. MASRAFLI OLARAK ÖN ÇERÇEVE VE ARKA KASA DEĞİŞTİ FORMAT ATILDI HAZIR.;23.02 bahri beye mail iletildi.Ön çerçeve: 80USD+KDV  Arka kasa : 40USD+KDV  BAHRİ BEY ONAYLADI 120USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;21.05.2018;;KAHVE DÜNYASI ORDU WYSPY OTEL;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;R2018001194 + (R2017301061);02.02.2023;;MÜŞTERİ EKRANI ARIZALI;;MÜŞTERİ EKRANI KABLOSU ÇIKMIŞ TAKILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.04.2022;;EKMEK ARASI ESKİŞEHİR HAMAMYOLU;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20220010280 + (R2201060111);02.02.2023;;EKRAN ARIZASI;;FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.08.2019;;DOYUYO FORUM ÇAMLIK;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R2019002144 + (R2201060021);03.02.2023;;DOKUNMATİK ARIZASI.;;format atıldı dokunmatik driver kaldırıldı baştan kuruldu test edildi sorun görülmedi hazır.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;05.05.2022;;TAVUK DUNYASI 34 CİTYS İSTANBUL;ROBOTPOS CİHAZ;MK;R20220010210;06.02.2023;;EKRAN RENK SORUNU;;led panel değişti format atıldı sorun görülmedi. hazır.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.06.2020;;HANSARAY İSKENDER BAĞCILAR;ROBOTPOS YAZICI;RP-81;1910280065;06.02.2023;;GÜN İÇİNDE EROR VERİYOR.;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04 MEHMET BEY SIFIR YAZICI 170USD+KDV , ONARIM MASRAFINI KABUL ETTİ 70USD+KDV BURAK BEY BİLGİSİNDE 10USD+KDV İNDİRİM YAPILDI 60USD+KDV , ÖDEMEYİ ELDEN YAPACAK NAKİT OLARAK.;;;;;;;;;;;;;;;;;;;;;;;;;;
;14.01.2021;;SEÇ AL ANKARA DEMETEVLER;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R2020002136 + (R2009150027);06.02.2023;;DOKUNMATİK SORUNU;;dokunmatik modül değişmesi gerekiyor.;45USD+KDV;14.02 KEMAL BEY GERİ DÖNÜŞ YAPACAK. KEMAL BEY ONAYLADI;;;;;;;;;;;;;;;;;;;;;;;;;
;27.10.2020;;İNTİBA DÖNER KAĞITHANE;ROBOTPOS YAZICI;RP-81;1910280014;10.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04 KADİR BEY ONAYLADI. KUR: 19,2612   70USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.01.2017;;İNTİBA DÖNER KARTAL;SERVER CİHAZI;HP ;CN76110173T;10.02.2023;;SSD TAKILMASI İSTENİYORMUŞ. (FIRAT) -- 240gb ssd + 1tb HDD;;240GB SSD= 60USD+KDV   1TB HDD=70USD+KDV = 130USD+KDV;14.02 İLKER BEY ULAŞILAMADI  16.02 kadir bey onayladı KUR: 18,8621;;;;;;;;;;;;;;;;;;;;;;;;;;
;31.03.2017;;ISS TEKFEN TOWER YEMEKHANE LEVENT;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001140 + (2016301079);10.02.2023;;AÇILMIYOR;;ANAKART DEĞİŞTİ FORMAT ATILDI HAZIR;360USD+KDV;14.02 MERAL HANIM GERİ DÖNÜŞ YAPTIRACAK ŞEYMA HANIM YETKİLİ 16.02 şeyma hanım onaylamadı   02.03 ŞEYMA HANIM ONAYLADI.;;;;;;;;;;;;;;;;;;;;;;;;;
;16.04.2019;;YENİ HAN BAKLAVA BÖREK FATİH;ROBOTPOS YAZICI;RP-81;1811250027;13.02.2023;;ÇALIŞMIYOR.;;anakartı kontrol edilecektir. -- yazıcı çalışmıyor diye geldi ayrıca silik yazma da mevcut değişmesi gereken parçalar anakart-termal kafa ve dış kasa değişmesi gerekmektedir masraf yüksek çıkacağı için sıfır yazıcı önerilir ;anakart:70usd+kdv termal kafa:60usd+kdv 130usd+kdv  ;06.04 abdurrahman beye mail iletildi.  11.04 ABDURRAHMAN BEY 125USD+KDV SIFIR ALDI ARIZALI BİZDE;;;;;;;;;;;;;;;;;;;;;;;;;
;31.03.2021;;KAHVE DÜNYASI BEBEK;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210020149 + (R2101080164);13.02.2023;;ETHERNET PORTU ARIZALI.;;TEST EDİLDİ SORUN GÖRÜLMEDİ HAZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.09.2020;;İNTİBA DÖNER KARTAL;ROBOTPOS YAZICI;RP-81;1910280153;13.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04.2023 KADİR BEY ONAYLADI. KUR: 19,2612   70USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;23.12.2020;;TAVUK DÜNYASI KIBRIS ŞEHİTLER CAD;ROBOTPOS YAZICI;RP-81;1910280116;13.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04 YÜCEL BEY ONAYLADI. KUR: 19,2612;;;;;;;;;;;;;;;;;;;;;;;;;;
;20.05.2022;;KÖFTECİ YUSUF ESKİŞEHİR SİVRİHİSAR;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20220010060 + (R2201060142);13.02.2023;;MÜŞTERİ EKRANI ÇALIŞMIYOR.;;MÜŞTERİ EKRNAI KABLOLARI SÖK TAK YAPILDI SORUN GİDERİLDİ FAKAK CİHAZIN ÖN ÇERÇEVEYİ TUTAN ARKA KASADAKİ VİDA YERİ KIRIK ARKA KASA DEĞİŞMESİ GEREKMEKTEDİR. ;14.02 arka kasa değişimi için  BAHRİ BEYE mail iletildi. arka kasa 40usd+kdv  21.02 bahri bey onayladı.;;;;;;;;;;;;;;;;;;;;;;;;;;
;22.02.2019;;TAVUK DÜNYASI TRABZON UZUN SOKAK;ROBOTPOS CİHAZ;M;R2018002161;13.02.2023;;AÇILMIYOR;;ANAKART ARIZALI;360USD+KDV;16.02 AKIN BEY GERİ DÖNÜŞ YAPACAK AKIN BEY ONAYLADI  KUR : 18,8621;;;;;;;;;;;;;;;;;;;;;;;;;
;13.09.2018;;KAHVE DÜNYASI ESKİŞEHİR ESPARK AVM;ROBOTPOS YAZICI;RP-81;1805120252;13.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;28.11.2016;;KAHVE DÜNYASI BODRUM MARİNA;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001120 + (2016301123);14.02.2023;;WİNDOWS ETKİNLEŞTİRME SORUNU VE BAŞLAT MENÜSÜ SABİTLENECEK;;ARKA KASA DEĞİŞTİ FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;05.04.2021;;KAHVE DÜNYASI ORHANGAZİ OKSİJEN 37 A AL GÖTÜR;ROBOTPOS YAZICI;RP-81;2003120085;14.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.04.2018;;ÖZCANLAR KÖFTE TEKİRDAĞ BEYAZKÖY;ROBOTPOS CİHAZ;M;R2018001058;14.02.2023;;WİNDOWS AÇILIP KAPANIYOR. MERT BEYE BİLGİ VERİLECEKMİŞ.;;--power button arızalıdır değişmesi gerekmektedir.;power button : 35usd+kdv;16.02 MERT BEY GERİ DÖNÜŞ YAPACAK. mert bey onayladı;;;;;;;;;;;;;;;;;;;;;;;;;
;04.04.2018;;KAHVE DÜNYASI ALANYA KAHYA OTEL;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;R2018001091 + (R2017303067);14.02.2023;;SES SORUNU;;hoparlör takıldı format atıldı sorun görülmedi. hazır.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MAVİ KÖŞK SAC TAVA;SENOR CİHAZ;AMON-15;B08C1617;17.02.2023;;CİHAZ AÇILMIYOR DİYE GERİ GELDİ.;;anakart arızası vardır onarımı mümkün değildir Metin bey bilgisinde muadil MSI önerilebilir ;21.02 ENGİN BEY DAHA SONRA ARANACAK. 28.02 engin bey 15 gün sonra aranacak.  15.03 de yetkilisi diyarbakırda onayı yetkilisi verecek.  30.03  MUADİL CİHAZ 300USD+KDV   sıfır cihaz fiyatı 1000USD+KDV  22.586,97 TL İSKONTOLU BURAK BEY BİLGİSİNDE KDV DAHİL 22.000 TL OLARAK FİYAT İLETİLDİ PAZARTESİ 15.00 DA ARANACAK. KUR : 19,1415    04.04 ENGİN BEY GERİ DÖNÜŞ YAPACAK  11.04 engin bey ulaşılamadı -- peşin ödeme yapılacak 21.000    %7   19,1362 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;25.01.2021;;DAMAK TÜRK MUTFAĞI ATAKÖY;ROBOTPOS YAZICI;RP-81;2003120303;17.02.2023;;YAZICI KAPAĞI KIRIK. SİLİK YAZMA VE KESME ARIZASI VAR;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;06.04.2023 HÜSNÜ BEY GERİ DÖNÜŞ YAPACAK.  11.04 hüsnü bey perşembe günü geri dönüş yapacak   13.04 HÜSNÜ BEY GERİ DÖNÜŞ YAPACAK   18.04 hüsnü bey geri dönüş yapcak 25.04 hüsnü bey onayladı;05.05.2023 DE TEKRAR SERVİSE ALINDI ARIZA DEVAM EDİYORMUŞ.;;;;;;;;;;;;;;;;;;;;;;;;;
;05.06.2017;;KAHVE DÜNYASI ISPARTA İYAŞ PARK AVM;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;R2016002119 + (R2016302045);17.02.2023;;CİHAZ ÇALIŞMIYOR.;;ANAKART DEĞİŞTİ FORMAT ATILDI TESTTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.03.2021;;KAHVE DÜNYASI MEYDAN MAHALLE;ROBOTPOS YAZICI;RP-81;2003120235;17.02.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;26.12.2016;;KAHVE DÜNYASI BURSA ANATOLIUM AVM;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001113 + (2016301105);20.02.2023;;CİHAZ AÇILMIYOR.;;ANAKART DEĞİŞTİ HOPARLÖR TAKILDI FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;08.11.2021;;KÖFTECİ YUSUF KAYSERİ KUMSMALL;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210030056 + (R2106790065);20.02.2023;;EKRAN RENK PROBLEMİ;;BİOS UPDATE YAPILDI VE FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.03.2020;;KÖFTECİ YUSUF BAŞAKŞEHİR DEPOSİTE;MÜŞTERİ EKRANI;MK;R1910230114;20.02.2023;;BAĞLANTI NOKTASI KIRIK;;ONAY GELDİ TAKILDI HAZIR\müşteri ekranı ayağı kırık yenisi takılacak onay bekleniyor.;24.02 müşteri ekranı ayak değişimi için 20usd+kdv masraf maili iletildi. 27.02 BAHRİ BEY ONAYLADI;;;;;;;;;;;;;;;;;;;;;;;;;;
;02.07.2018;;KAHVE DÜNYASI EMAAR SQUARE AVM;ROBOTPOS CİHAZ;M;R2018002293;21.02.2023;;ETHERNET PORTU ARIZALI.;;FORMAT ATILDI SORUN GÖRÜLMEDİ. HAZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21.08.2016;;KAHVE DÜNYASI KUŞADASI MARİNA;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001127 + (B21010360);21.02.2023;;CİHAZ AÇILMIYOR.;;ANAKART DEĞİŞTİ. FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29.11.2018;;PAKİŞ YOLA MARKET  BOLU GEREDE GÜNEY;ROBOTPOS CİHAZ;M;R2018002262;21.02.2023;;DONMA VE KASMA;;BİOS UPDATE VE FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29.11.2018;;PAKİŞ YOLA MARKET  BOLU GEREDE GÜNEY;ROBOTPOS CİHAZ;M;R2018002283;21.02.2023;;DONMA VE KASMA;;FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;03.03.2021;;POLİN RESTORAN BAĞCILAR MEGA;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R2020002076 + (R2009150008);21.02.2023;;POWER SOKET ARIZALI;;POWER SOKET DEĞİŞTİ. FORMAT ATILDI. SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26.10.2021;;İSTİNYE TAVUKÇUSU İZMİR İSTİNYEPARK;ROBOTPOS YAZICI;RP-81;2106080242;22.02.2023;;ÇALIŞMIYOR.--;;SIVI TEMASI MEVCUT ADAPTÖR UCU OKSİTLENMİŞ ÇALIŞMIYOR ANAKART ÇALIŞMIYOR VE POWER DÜĞMESİ ÇALIŞMIYOR SIFIR YAZICI ÖNERİLKİR. ;anakart :70usd+kdv  adaptör:40 power düğmesi:35   23.02 gülşah hanım sıfır yazıcı alacak 125USD+KDV ARIZALI BİZDE KALACAK;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.12.2019;;AŞİYAN CAFE BAĞCILAR;ROBOTPOS YAZICI;RP-81;1906060069;24.02.2023;;SİLİKL YAZMA.;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;07.04 şube arandı elif hanım geri dönüş yapacak. Deniz bey onayladı kur:19,2708;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.05.2018;;DEMLİK NEOMARİN;ROBOTPOS YAZICI;RP-81;1801160160;27.02.2023;;SİLİK YAZMA.;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;07.04 şahin bey ulaşılamadı 11.04 uğur bey onayladı 70usd+kdv  kur:19,3418;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.04.2017;;KAHVE DÜNYASI MODA;ROBOTPOS MÜŞTERİ EKRANI;M;R2016302093;27.02.2023;;RENK PROBLEMİ.;;FLEX KABLOSU ÇIKMIŞ TAKILDI HAZIR SORUN GÖRÜLMEDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.03.2022;;ÖZSÜT MALL OF İSTANBUL AVM;ROBOTPOS CİHAZ;MK;R20220010145;27.02.2023;;EKRAN RENK SORUNU;;LED PANBEL DEĞİŞTİ FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17.06.2022;;KÖFTECİ YUSUF ANKARA ŞEREFLİKOÇHİSAR ANKARA YÖNÜ OTOBAN;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20220010249 + (R2201060038);27.02.2023;;CİHAZ DÜŞMÜŞ EKRANIN SAĞ TARAFI HASAR ALMIŞ. -- dokunmatik panel kırık şubede düşürmüşler dokunmatik panel değişmesi gerekmektedir ;;DOKUNMATİK PANEL : 230USD+KDV;02.03 bahri beye mail iletildi. 15.03 bahri bey onayladı.;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.11.2021;;KÖFTECİ YUSUF KAYSERİ ŞEKER FABRİKASI KARŞISI;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210030264 + (R2106190113);27.02.2023;;EKRAN RENK SORUNU;;FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.08.2019;;DOYUYO FORUM ÇAMLIK;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R2019002144 + (R2201060021);28.02.2023;;DOKUNMATİK SORUNU -- dokunmatik modül değişmesi gerekiyor ;;dokunmatik modül : 45USD+KDV;28.02.2023 gökhan bey onayladı.;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.06.2021;;SEÇ AL TOKAT;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210020165 + (R2101080130);28.02.2023;;DOKUNMATİK SORUNU;;TABLET PC AYARI YAPILDI. TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;02.12.2021;;PAKİŞ YOLA MARKET  BOLU GEREDE GÜNEY;ROBOTPOS CİHAZ;MK;R20210030059;28.02.2023;;DONUYOR. KASADA EKRAN VİDA KISMI KIRIK GELDİ.;;ARKA KASA DEĞİŞTİ FORMAT ATILDI SORUN GÖRÜLMEDİ AHZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29.11.2018;;PAKİŞ YOLA MARKET  BOLU GEREDE GÜNEY;ROBOTPOS CİHAZ;M;R2018002278;28.02.2023;;DONUYOR. ;;BİOS UPDATE VE FORMAT ATILDI SORUN GÖRÜLMEDİ HAZIR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.08.2018;;KAHVE DÜNYASI MODA;ROBOTPOS YAZICI;RP-81;1805120093;02.03.2023;;KESME VE SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.05.2017;;KAHVE DÜNYASI TEKİRDAĞ TEKİRA AVM;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;R2016002031 + (R2016302074);02.03.2023;;VİRÜS VAR;;BİOS OPDATE VE FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26.01.2018;;CAFE DEM METRO CORNER;VİNTEC MÜŞTERİ EKRANI;DL097;097DL170868067;02.03.2023;;TEMASSIZLIK SORUNU;;GÖSTERGE VGA KABLOSU DEĞİŞMESİ GEREKMEKTEDİR.;35USD+KDV;07.03 hasan beye bilgi verildi. 35usd+kdv =781,15 TL  geri dönüş yapcak  09.03 yunus bey geri dönüş yapacak  2. EL KART OKUYUCU 40USD+KDV   10.03 YUNUS BEY KART OKUYUCU FİYATINI ONAYLAMADI VGA KABLOSUNU ONAYLADI. KUR : 18,9141;;;;;;;;;;;;;;;;;;;;;;;;;
;31.03.2022;;PRINCE CAFE GALATAPORT;ROBOTPOS YAZICI;RP-81;2106080301;03.03.2023;;SİYAH KAĞIT ÇIKARTMA SORUNU;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.01.2021;;KAHVE DÜNYASI LEVENT ÇARŞI;ROBOTPOS YAZICI;RP-81;2003120301;06.03.2023;;SİLİK YAZMA;;TERMAL KAFA VE DIŞ KASA DEĞİŞMESİ GEREKMEKTEDİR.;garantiden termal kafa ve dış kasa değişecektir.;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.06.2021;;KAHVE DÜNYASI BOLU GEREDE ALGÖTÜR;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20210020041 + (R2101080070);06.03.2023;;cihaz yeniden başlatıldığın sürekli saat ve tarih ayarı değişmektedir;;ANAKART YANMIŞ DEĞİŞTİRİLDİ FORMAT ATILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.04.2022;;EKMEK ARASI ESKİŞEHİR HAMAMYOLU;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;MK;R20220010280 + (R2201060111);06.03.2023;;CİHAZIN EKRANINI İNDİRİP KALDIRAMIYOR VE İÇİNDE TOZ VAR DİYE GERİ GÖNDERMİŞLER.;;EKRAN SİLİNDİ AYAK DEĞİŞTİ.;07.03 BAHRİ BEYE cihaz ayağı için mail iletildi  80USD+KDV 17.03 METİN BEY BİLGİSİNDE BEDELSİZ AYAK TAMİRİ YAPILDI;;;;;;;;;;;;;;;;;;;;;;;;;;
;28.11.2016;;KAHVE DÜNYASI BODRUM MARİNA;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;M;2016001120 + (2016301123);07.03.2023;;DOKUNMATİK SORUNU OLDUĞU İÇİN GERİ GELDİ.SEİ NO ETİKETİ YAPIŞTIRILMAMIŞ.;;DOKUNMATİK KALİBRE EDİLDİ TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
