İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI LAND OF LEGENDS BELEK;ROBOTPOS YAZICI;;SN:1612090037;05.09.2017;;KAPAK AÇILMAMA SORUNU;;OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI YEŞİLKÖY;ROBOTPOS CİHAZ;;R2016002200 ;07.09.2017;;BİOS PİLİ SORUNU;;OFİS İÇİ YADA MERKEZE GİDECEK. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUT REİS MARİNA;ROBOTPOS YAZICI;;SN:1612090058;11.09.2017;;ÖN KAPAK YOK--KAPAK KIRIK KAPANMIYOR;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUT REİS MARİNA;ROBOTPOS YAZICI;;SN:161209060;11.09.2017;;ÖN JİLET ARIZALI ;;OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ULUS;ROBOTPOS MÜŞTERİ EKRANI;;SN.2016001034 ;12.09.2017;;ÇALIŞMIYOR;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÇORLU ORİON;ROBOTPOS CİHAZ;;SN:R2016002074;12.09.2017;;MÜŞTERİ EKRANI SOKET SORUNU;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANKARA 365 AVM;MICROS PARA ÇEKMECESİ;;SN:39482;13.09.2017;;OFİS İÇİ ;;YÜKSEL BEYE ONARIMI MUMKUN DEĞİL DİYE BILGI VERİLDİ,.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SEYYAR YERİM HALKALI;ROBOTPOS YAZICI;;SN:1612090013;18.09.2017;;;;ŞİRKETTE METİN BEYDE ONARIMI İÇİN;ARIZALI YERİNE SIFIR YAZICI TESLİM EDİLDİ. 17.11.2017;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İZMİR OPTİMUM;ROBOTPOS CİHAZ;;SN:R2017002030 ;18.09.2017;;DOKUNMATIK KIRIK METIN BEYE GOTURULECEK. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI LAND OF LEGENDS BELEK;ROBOTPOS YAZICI;;SN:1612090037;21.09.2017;;BIÇAK SORUNU ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI BATUIKENT ANKARA;ROBOTPOS CİHAZ;;R2017001034 ;25.09.2017;;SHELL HATASI  VAR. METİNE BIRAKILDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FARUK GÜLLÜOĞLU SEFAKÖY SHELL;ROBOTPOS CİHAZ;;SN:R2017002049;27.09.2017;;OFİS İÇİ FORMAT ATILACAK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN BEBEK;MICROS PARACEKMECESİ;;SNY1325;20.102.017;;OFİS İÇİNDE KONTROL EİDLECEK. ADEMDE;;SIFIR PARA CEKMECESİ TAKILDI, FATURA EDİLMİŞ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE D ÜNYASI ARMONİPARK;MICROS CİHAZ;;SN:63554012514;05.10.2017;;MAVİ EKRAN SORUNU OFİS İÇİ KONTROL;;2 ADET MICROS CIHALARI YUKSEL BEYE BIRAKILDI.;11.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN BEBEK;MICROS CİHAZ;;SN:1142046130;05.10.2017;;CİHAZ AÇILMIYOR. OFİS İÇİ KONTROL ADEMDE;;1 ADET MICROS CİHAZ YÜKSEL BEYE TESLİM EDİLDİ.;11.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ULUS;MICROS CİHAZ;;3206160228;05.10.2017;;MAVİ EKRAN SORUNU OFİS İÇİ KONTROL;;1 ADET MICROS CİHAZ YÜKSEL BEYE TESLİME DİLDİ.;11.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ANKARA BATIKENT;ROBOTPOS CİHAZ;;R2017001034 ;06.10.2017;;EKRAN ÇİZİK VE KORUMA ACILMIŞ TEST EDILDI SORUN GORULMEDI.06.10.2017 İŞLETMEYE TEKRAR KARGOLANDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI GEBZE CENTER;MIVROS CİHAZ;;SN:9231028765;09.10.2017;;OFİS İÇİ  MAVİ EKRAN HATASI ;;1 ADET MICROS CİHAZ YUKSEL BEYE TESLİME DİLDİ.;;11.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN KADIKÖY;ROBOTPOS YAZICI;;SN:1612090010;09.10.2017;;KESMEME SORUNU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI VADİ İSTANBUL;ROBOTPOS CİHAZ;;SN:R2017001158;11.10.2017;;DOKUNMATIK SORUNU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ANKARA BATIKENT;ROBOTPOS CİHAZ;;R2017001034;11.10.2017;;AYAK KIRIK VE CERCEVE ACIK DURUMDA.;;İŞLETMEYE SIFIR ROBOTPOS CİHAZ GÖNDERİLDİ.26.10.2017 SN:2016001039 SERİ NUMARALI ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BİR VRMIŞ BİR YOKMUŞ ÇENGELKÖY;ROBOTPOS YAZICI;;SN:1612090015;11.10.2017;;OFİS İÇİ KONTROL FİŞ SORUNU YARIM VE ÇIKARMAMA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TORUİM AVM;MICROS CİHAZ;;SN:0235007972;13.10.2017;;AÇILMAMA SORUNU OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AKBATI AVM;MICROS CİHAZ;;SN:8885021294;14.10.2017;;AÇILMAMA SORUNU OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
